time,crack_1,crack_2,crack_3
2025/3/26 18:00,47.31,36.89,41.24
2025/3/26 18:10,47.37,36.98,41.26
2025/3/26 18:20,47.42,37.07,41.29
2025/3/26 18:30,47.44,37.12,41.35
2025/3/26 18:40,47.49,37.18,41.39
2025/3/26 18:50,47.52,37.24,41.43
2025/3/26 19:00,47.54,37.29,41.45
2025/3/26 19:10,47.56,37.31,41.46
2025/3/26 19:20,47.59,37.34,41.49
2025/3/26 19:30,47.61,37.38,41.5
2025/3/26 19:40,47.63,37.43,41.51
2025/3/26 19:50,47.66,37.45,41.54
2025/3/26 20:00,47.68,37.48,41.56
2025/3/26 20:10,47.71,37.52,41.58
2025/3/26 20:20,47.73,37.54,41.6
2025/3/26 20:30,47.76,37.58,41.63
2025/3/26 20:40,47.78,37.61,41.67
2025/3/26 20:50,47.79,37.63,41.68
2025/3/26 21:00,47.81,37.65,41.69
2025/3/26 21:10,47.83,37.72,41.71
2025/3/26 21:20,47.84,37.7,41.73
2025/3/26 21:30,47.85,37.71,41.75
2025/3/26 21:40,47.86,37.72,41.77
2025/3/26 21:50,47.87,37.75,41.78
2025/3/26 22:00,47.87,37.74,41.78
2025/3/26 22:10,47.88,37.75,41.79
2025/3/26 22:20,47.89,37.78,41.79
2025/3/26 22:30,47.88,37.78,41.81
2025/3/26 22:40,47.89,37.8,41.82
2025/3/26 22:50,47.91,37.82,41.84
2025/3/26 23:00,47.92,37.84,41.86
2025/3/26 23:10,47.94,37.85,41.86
2025/3/26 23:20,47.95,37.85,41.89
2025/3/26 23:30,47.95,37.85,41.9
2025/3/26 23:40,47.96,37.86,41.9
2025/3/26 23:50,47.98,37.89,41.92
2025/3/27 0:00,48,37.91,41.93
2025/3/27 0:10,48,37.94,41.95
2025/3/27 0:20,48.02,37.95,41.96
2025/3/27 0:30,48.04,37.98,41.97
2025/3/27 0:40,48.06,38.01,42
2025/3/27 0:50,48.07,38.03,42.01
2025/3/27 1:00,48.08,38.04,42.02
2025/3/27 1:10,48.09,38.05,42.03
2025/3/27 1:20,48.1,38.08,42.05
2025/3/27 1:30,48.11,38.13,42.07
2025/3/27 1:40,48.14,38.14,42.09
2025/3/27 1:50,48.16,38.17,42.18
2025/3/27 2:00,48.17,38.19,42.19
2025/3/27 2:10,48.2,38.18,42.2
2025/3/27 2:20,48.2,38.2,42.2
